Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,claim,text,organization,lang_name,rating_label,rating_value,entity_strings,entities,nr_entities,num_words,probable_lang,Topic,Topic Name,Topic Representation
38150,43579,37789,1477,http://data.gesis.org/claimskg/creative_work/97496c75-40ad-5794-b265-eb4f2af7f8d5,The Biden administration published a study concluding 4 (of) 5 new cars on the road by 2050 will still require liquid fuels.,politifact,English,True,3,"Biden administration, liquid fuels","['Biden administration', ' liquid fuels']",2.0,22,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
40874,46750,41512,2685,http://data.gesis.org/claimskg/creative_work/8bc01ce3-1ba5-5ef7-9b7f-7a0451a58909,Says Joe Biden helps build Afghanistan’s pipeline.,politifact,English,False,1,"Afghanistan, Joe Biden","['Afghanistan', ' Joe Biden']",2.0,7,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
41741,47630,43500,4673,http://data.gesis.org/claimskg/creative_work/416b7da2-3699-58d9-8b93-836e493bebc4,"Says Joe Biden proposed killing over 600,000 jobs supported by fracking.",politifact,English,False,1,"Joe Biden, fracking","['Joe Biden', ' fracking']",2.0,11,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
41943,47838,41427,2600,http://data.gesis.org/claimskg/creative_work/ec0bb7c7-8574-54a8-a873-fee1fdb90390,"A Big Boy restaurant sign said Donald Trump was right when he predicted if Biden was elected, you'd see $5, $6 and $7 gas.",politifact,English,False,1,"Big Boy, Donald Trump","['Big Boy', ' Donald Trump']",2.0,24,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
41992,47889,12499,1151,http://data.gesis.org/claimskg/creative_work/1a3e356c-b0ed-531c-a007-b5d1255df136,Joe Biden said there is no climate crisis,factcheck_afp,English,FALSE,1,"Joe Biden, climate crisis","['Joe Biden', ' climate crisis']",2.0,8,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
42075,47973,41400,2573,http://data.gesis.org/claimskg/creative_work/8a47abae-23fd-5675-a0df-fa73297abbe7,"Two years ago we were drilling our own oil for $27 a barrel. Now, thanks to Joe Biden, we’re paying $105 a barrel to Russia.",politifact,English,False,1,"Joe Biden, Russia","['Joe Biden', ' Russia']",2.0,25,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
42128,48026,41976,3149,http://data.gesis.org/claimskg/creative_work/87f76910-9745-5458-9fa9-1c9b2eec7c20,Joe Biden confirmed his plan to abolish the entire U.S. oil industry.,politifact,English,False,1,"Joe Biden, U.S. oil industry","['Joe Biden', ' U.S. oil industry']",2.0,12,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
42996,48953,66972,4943,http://data.gesis.org/claimskg/creative_work/77f1a813-9d9b-5eb3-984c-f9ba1da0aae0,The most common price of U.S. gas was above $5 per gallon when U.S. President Joe Biden took office in January 2021.,snopes,English,False,1,"January 2021, U.S., U.S. President Joe Biden","['January 2021', ' U.S.', ' U.S. President Joe Biden']",3.0,22,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
44578,50628,16575,5227,http://data.gesis.org/claimskg/creative_work/50b3f09f-42f6-5c86-a8f8-f41c27dc68f8,"Gas prices at their highest in many places in the US since Obama, because of Biden",factcheck_afp,English,MIXTURE,2,"Biden, Gas prices, Obama","['Biden', ' Gas prices', ' Obama']",3.0,16,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
44811,50863,47196,8369,http://data.gesis.org/claimskg/creative_work/987bda88-6bfb-5232-969b-d34f67c21395,Joe Biden's cancellation of the Keystone pipeline dramatically increased Americans' dependence on Russian oil.,politifact,English,False,1,"Joe Biden's, Keystone pipeline, Russian oil","[""Joe Biden's"", ' Keystone pipeline', ' Russian oil']",3.0,14,en,1,1_gas_prices_pipeline_oil,"gas, prices, pipeline, oil, keystone, energy, ban, climate, fracking, the"
